postal code,long,lat
609286,103.746563,1.300818
609285,103.746496,1.300581
609283,103.746483,1.300358
609292,103.747423,1.300065
609281,103.746367,1.299978
609291,103.747339,1.299782
609273,103.749658,1.298069
609271,103.751795,1.298559
609295,103.749419,1.298552
609275,103.751118,1.299851
609274,103.751717,1.300112
609272,103.752256,1.300341
609267,103.752133,1.301254
609262,103.752237,1.30152
609276,103.750929,1.300712
609277,103.750527,1.301305
609279,103.75005,1.30179
609386,103.749469,1.301365
609284,103.750021,1.29948
609282,103.749725,1.300007
609289,103.748429,1.299726
609388,103.748171,1.300915
609293,103.747581,1.300599
609389,103.747433,1.301018
609288,103.746428,1.30158
609290,103.746458,1.302196
609294,103.747705,1.3026
609387,103.748323,1.302065
609390,103.748919,1.302032
609385,103.748787,1.30271
609383,103.750131,1.303536
609384,103.749322,1.303102
609260,103.75203,1.301998
609258,103.751757,1.302504
609382,103.751374,1.303256
609299,103.752181,1.303849
609255,103.751933,1.304335
609254,103.751171,1.304205
609253,103.751572,1.305557
609256,103.752571,1.303388
609257,103.752869,1.302154
609263,103.753662,1.300912
609261,103.75323,1.301286
609259,103.753192,1.301666
609270,103.752877,1.300455
609298,103.753106,1.299654
609268,103.753115,1.298973
609264,103.754492,1.29943
609265,103.754354,1.298984
609266,103.754403,1.298306
609296,103.75436,1.297663
609269,103.753557,1.298256
609297,103.753135,1.29865
128468,103.758605,1.301266
128465,103.759243,1.300721
126980,103.762593,1.293635
126887,103.762092,1.292675
126800,103.76133,1.291693
126978,103.7611,1.291026
126979,103.761228,1.291564
127321,103.766421,1.294154
127320,103.766435,1.294122
127319,103.766461,1.294082
127318,103.766479,1.294046
127317,103.766562,1.293962
127316,103.766585,1.293893
127315,103.76661,1.293819
126784,103.765551,1.293417
127310,103.7667,1.293526
127311,103.766693,1.293569
127312,103.766674,1.293632
127313,103.766656,1.293688
127314,103.766633,1.29375
127309,103.766836,1.293383
126814,103.76712,1.293096
127300,103.767279,1.292955
127301,103.767243,1.292985
126812,103.767208,1.293019
126813,103.767162,1.293058
126805,103.767116,1.292898
127304,103.767189,1.292847
127305,103.767147,1.292876
126806,103.767075,1.292936
126807,103.767036,1.292969
126808,103.766992,1.293003
127297,103.767398,1.292757
127296,103.767499,1.292677
127295,103.767573,1.292579
127294,103.767666,1.292513
118808,103.768133,1.292314
118806,103.768208,1.292261
118805,103.76823,1.292243
118807,103.768175,1.292288
118804,103.768255,1.292227
118802,103.768288,1.292202
118569,103.768445,1.292062
118657,103.768508,1.292023
118686,103.76856,1.291992
118698,103.768607,1.291979
117505,103.768427,1.291837
117504,103.768701,1.291786
117503,103.768779,1.291485
117506,103.768493,1.291506
117606,103.77354,1.283278
118499,103.780422,1.278909
118363,103.74514,1.236063
118364,103.745848,1.236354
118382,103.766043,1.23076
98131,103.836098,1.239334
98216,103.836594,1.239852
98308,103.83751,1.239553
98307,103.837141,1.239795
98276,103.837065,1.240335
98291,103.837249,1.24038
98272,103.83745,1.240386
98157,103.837668,1.240365
98275,103.837855,1.240382
98158,103.83807,1.240412
98078,103.838532,1.240919
